channel_id,channel_name
"1290972","90'S - DIRECT ᴴᴰ"
"696338","### CINEMANIA TV SHOWS ᴿᴬᵂ ⁶⁰ᶠᵖˢ ###"
"696337","CM APPLE TV PLUS 1"
"1461360","EXYU: A NIGHTMARE ON ELM STREET ᴿᴬᵂ"
"696336","CM APPLE TV PLUS 2"
"696335","CM APPLE TV PLUS 3"
"696334","CM DISNEY PLUS 1"
"696333","CM DISNEY PLUS 2"
"696332","CM DISNEY PLUS 3"
"696331","CM DISNEY PLUS 4"
"696328","CM AMAZON 2"
"696329","CM AMAZON 1"
"696330","CM DISNEY PLUS 5"
"696327","CM AMAZON 3"
"696326","CM AMAZON 4"
"696325","CM AMAZON 5"
"696322","CM NETFLIX 3"
"696324","CM NETFLIX 1"
"696323","CM NETFLIX 2"
"696321","CM NETFLIX 4"
"696320","CM NETFLIX 5"
"696315","3RD ROCK"
"696314","60 DAYS IN"
"696304","ALFRED HITCHCOCK"
"696306","ADVENTURES OF THE GUMMI BEARS"
"696302","ALLO ALLO"
"696300","ANCIENT ALIENS"
"696297","ANNE WITH AN E"
"696292","AVATA THE LAST AIRBENDER"
"696277","BEING MARY JANE"
"696279","BEAUTY AND THE BEAST 2012"
"696275","BEVERLY HILLS BORDELLO"
"696273","BITTEN"
"696261","BORDER SECURITY"
