# CANADA / CA CHANNEL LIST
# FULL PROVIDER EXPORT - GROUPS, CHANNEL NAMES, AND IDs
#

# ==================================================
# GROUP: CA| CANADA WEST PPV
# ==================================================
CA: GAMETV | STREAM_ID=498731 | EPG_CHANNEL_ID=GameTV.ca
CA: GINX ESPORTS TV | STREAM_ID=498730 | EPG_CHANNEL_ID=GINXeSportsTVCanada.ca
CA: GlLOBL EDMONTON | STREAM_ID=1260957 | EPG_CHANNEL_ID=CITV.ca
CA: GLOBAL BC | STREAM_ID=498729 | EPG_CHANNEL_ID=GlobalBC.ca
CA: GLOBAL CALGARY | STREAM_ID=1260958 | EPG_CHANNEL_ID=
CA: GLOBAL NEWS | STREAM_ID=1754412 | EPG_CHANNEL_ID=globalnewsbc1.ca
CA: GLOBAL TORONTO | STREAM_ID=498728 | EPG_CHANNEL_ID=CIII.ca
CA: GLOBAL VANCOUVER | STREAM_ID=498726 | EPG_CHANNEL_ID=
CA: GOLF | STREAM_ID=498727 | EPG_CHANNEL_ID=
CA: GSN | STREAM_ID=498725 | EPG_CHANNEL_ID=
CA: GUSTO | STREAM_ID=498724 | EPG_CHANNEL_ID=
CA: H2 CANADA | STREAM_ID=498723 | EPG_CHANNEL_ID=
CA: HBO 1 | STREAM_ID=498722 | EPG_CHANNEL_ID=HBO.ca
CA: HBO 2 | STREAM_ID=498721 | EPG_CHANNEL_ID=HBO2.ca
CA: HGTV | STREAM_ID=498720 | EPG_CHANNEL_ID=HGTV.ca
CA: HISTORIA | STREAM_ID=498719 | EPG_CHANNEL_ID=HistoryChannel.ca
CA: HISTORY | STREAM_ID=498718 | EPG_CHANNEL_ID=HistoryChannel.ca
CA: HLN | STREAM_ID=498717 | EPG_CHANNEL_ID=HLN.ca
CA: HPiTV | STREAM_ID=498800 | EPG_CHANNEL_ID=HPItv.ca
CA: ICI MONTREAL | STREAM_ID=498715 | EPG_CHANNEL_ID=ICITeleMontreal.ca
CA: ICI RDI | STREAM_ID=498684 | EPG_CHANNEL_ID=RDINews.ca
CA: ICI VANCOUVER | STREAM_ID=498716 | EPG_CHANNEL_ID=
CA: IFC | STREAM_ID=498713 | EPG_CHANNEL_ID=
CA: INVESTIGATION DISCOVERY | STREAM_ID=498734 | EPG_CHANNEL_ID=
CA: KNOWLEDGE KIDS | STREAM_ID=498712 | EPG_CHANNEL_ID=
CA: LCN | STREAM_ID=498710 | EPG_CHANNEL_ID=LeCanalNouvelles.ca
CA: LIFETIME | STREAM_ID=498709 | EPG_CHANNEL_ID=LifetimeTV.ca
CA: MAKEFUL | STREAM_ID=498708 | EPG_CHANNEL_ID=Makeful.ca
CA: MAX | STREAM_ID=498707 | EPG_CHANNEL_ID=
CA: MIRACLE | STREAM_ID=498706 | EPG_CHANNEL_ID=
CA: MOVIETIME | STREAM_ID=498704 | EPG_CHANNEL_ID=MovieTime.ca
CA: MTV | STREAM_ID=498703 | EPG_CHANNEL_ID=MTV.ca
CA: MTV 2 | STREAM_ID=498702 | EPG_CHANNEL_ID=MTV2.ca
CA: MUCH MUSIC | STREAM_ID=498701 | EPG_CHANNEL_ID=MuchMusic.ca
CA: NAT GEO | STREAM_ID=498699 | EPG_CHANNEL_ID=NatGeo.ca
CA: NBA TV | STREAM_ID=498698 | EPG_CHANNEL_ID=NBATV.ca
CA: NBC EAST | STREAM_ID=498697 | EPG_CHANNEL_ID=
CA: NBC WEST | STREAM_ID=498696 | EPG_CHANNEL_ID=
CA: NICK | STREAM_ID=498695 | EPG_CHANNEL_ID=
CA: NTV | STREAM_ID=498694 | EPG_CHANNEL_ID=
CA: OLN | STREAM_ID=498693 | EPG_CHANNEL_ID=OutdoorLifeNetwork.ca
CA: OMNI 1 | STREAM_ID=498692 | EPG_CHANNEL_ID=omni1.ca
CA: OMNI 2 | STREAM_ID=498691 | EPG_CHANNEL_ID=OMNI2.ca
CA: ONE | STREAM_ID=498690 | EPG_CHANNEL_ID=
CA: ONE SOCCER HD | STREAM_ID=751301 | EPG_CHANNEL_ID=OneSoccer.ca
CA: OUT TV | STREAM_ID=498689 | EPG_CHANNEL_ID=OutTV.ca
CA: OWN | STREAM_ID=498688 | EPG_CHANNEL_ID=OprahWinfreyNetwork.ca
CA: PBS EAST | STREAM_ID=498687 | EPG_CHANNEL_ID=
CA: PEACH TREE | STREAM_ID=498686 | EPG_CHANNEL_ID=
CA: PRISE 2 | STREAM_ID=498685 | EPG_CHANNEL_ID=Prise2.ca
CA: RDS | STREAM_ID=498683 | EPG_CHANNEL_ID=RDS.ca
CA: RDS 1 | STREAM_ID=1976910 | EPG_CHANNEL_ID=
CA: RDS 2 | STREAM_ID=498682 | EPG_CHANNEL_ID=RDS2.ca
CA: RDS INFO | STREAM_ID=498681 | EPG_CHANNEL_ID=RDSInfo.ca
CA: SERIES PLUS | STREAM_ID=498680 | EPG_CHANNEL_ID=SeriesPlus.ca
CA: SHOPPING | STREAM_ID=498679 | EPG_CHANNEL_ID=
CA: SHOWCASE EAST | STREAM_ID=498678 | EPG_CHANNEL_ID=
CA: SILVER SCREEN CLASSICS | STREAM_ID=498677 | EPG_CHANNEL_ID=SilverScreenClassics.ca
CA: SLICE | STREAM_ID=498676 | EPG_CHANNEL_ID=Slice.ca
CA: SMITHSONIAN | STREAM_ID=695096 | EPG_CHANNEL_ID=Smithsonian.ca
CA: SPACE | STREAM_ID=498674 | EPG_CHANNEL_ID=
CA: SPIKE TV / PARAMOUNT | STREAM_ID=498673 | EPG_CHANNEL_ID=
