MOVIE / VOD CATEGORIES
======================

Total categories: 430

CATEGORY ID | CATEGORY NAME
2174 | FR - FILM ⁴ᴷ ᴴᴰᴿ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1685 | FR - FILMS EN SAGA ⁴ᴷ ³⁸⁴⁰ᴾ
1277 | FR - FOOTBALL
1279 | FR - GOLF
1360 | FR - GUERRE FILMS
1278 | FR - HANDBALL
1579 | FR - HISTORIQUE BIOPIC
794 | FR - HORREUR
1093 | FR - LE DRENIER AJOUTEE
1895 | FR - LE DRENIER AJOUTEE ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1525 | FR - MANGA
1280 | FR - MOTO
1100 | FR - MUSIQUE
1720 | FR - NETFLIX 2025
629 | FR - NETFLIX FILMS
1669 | FR - PARAMOUNT+
1282 | FR - RUGBY
1101 | FR - SCIENCE-FICTION
868 | FR - THRILLER
1699 | FR - VOSTFR
1283 | FR - WRC
2232 | GR - ANIME
1164 | GR - APPLE+
1019 | GR - CHRISTMAS MOVIES
1159 | GR - DISNEY+
1165 | GR - DOCUMENTARY
2366 | GR - FIFA WORLD CUP 2026
2374 | GR - FORMULA 1
1155 | GR - GREEK THEATER
2233 | GR - HBO MAX
2166 | GR - HORROR
2300 | GR - MARVEL MOVIES
1167 | GR - NETFLIX
2067 | GR - NEW RELEASES 2026
1158 | GR - PRIME AMAZON
1366 | GR - ΕΛΛΗΝΙΚΕΣ ΤΑΙΝΕΣ
1018 | GR - ΚΑΡΑΟΚΕ
135 | GR - ΚΙΝΗΜΑΤΟΓΡΑΦΟΣ
815 | GR - ΠΑΙΔΙΚΑ
1778 | IL - FREE TV - סרטים
2336 | IL - HEBREW DOCU-MOVIES
1934 | IL - HEBREW EN KIDS MOVIES
1933 | IL - HEBREW EN MOVIES
1621 | IL - דיסני+ סרטים
1219 | IL - סרטים 2022 + ישן
1147 | IL - סרטים 2023 + האחרון
2116 | IN - ANIMATION
773 | IN - BOLLYWOOD'S
1662 | IN - CAM & NEW RELEASE
1651 | IN - EN HINDI
1597 | IN - GUJARATI MOVIES
1598 | IN - GUJARATI NATAK
88 | IN - HINDI
1938 | IN - HINDI ⁴ᴷ ³⁸⁴⁰ᴾ
1325 | IN - KANNADA
223 | IN - KIDS
1482 | IN - KOREAN HINDI DABBLING
222 | IN - MALAYALAM
270 | IN - MARATHI
1652 | IN - NEW RELEASE
189 | IN - PUNJABI
190 | IN - TAMIL
191 | IN - TELUGU
389 | IR - PERSIAN MOVIES
83 | IR - PERSIAN SUB/DUB
1009 | IR - PERSIAN قدیمی
723 | IR - PERSIAN کارتون
871 | IR - PERSIAN کلاسیک دوبله
244 | IT - 4K MOVIES
247 | IT - ANIMAZIONE
1937 | IT - ANIME
240 | IT - AVVENTURA/AZIONE
2270 | IT - BIOGRAFICO
248 | IT - CLASSICO
250 | IT - COMMEDIA
2042 | IT - DOCUMENTARIO
249 | IT - DRAMMA/ROMANCE
252 | IT - FANTASTICO/FANTASCIENZA
207 | IT - FILM 1990-2023
114 | IT - FILM 2024-2026
251 | IT - HORROR/THRILLER
2269 | IT - WESTERN
2052 | JAMES BOND 007
1670 | JP - JAPANESE FILM
1682 | JP - NETFLIX
1208 | KU - BADINI
1245 | KU - CARTOON BADINI
1246 | KU - CARTOON SORANI
82 | KU - KURDISH MOVIES SUB
1207 | KU - SORANI
2293 | LA - ANIME
1189 | LA - INFANTILES
1188 | LA - PELÍCULAS
1535 | MARVEL MOVIES (MULTI)
1536 | MARVEL MOVIES 3840P (MULTI)
89 | MT - MOVIES
664 | NETFLIX ANIMI
410 | NETFLIX ASIA
1661 | NETFLIX DOCU-MOVIES
437 | NETFLIX HEVC
285 | NETFLIX KIDS
220 | NETFLIX KIDS ⁴ᴷ ³⁸⁴⁰ᴾ
137 | NETFLIX MOVIES
1925 | NETFLIX MOVIES DOLBY AUDIO
219 | NETFLIX MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
2261 | NETFLIX MUSIC
2177 | NETFLIX STAND-UP COMEDY
84 | NL - 2022 & OUD
1797 | NL - AMAZON PRIME
168 | NL - BIOSCOOP
227 | NL - BIOSCOOP ⁴ᴷ ³⁸⁴⁰ᴾ
1749 | NL - KERST FILMS
86 | NL - KINDEREN
228 | NL - KINDEREN ⁴ᴷ ³⁸⁴⁰ᴾ
1712 | NL - NPO+
2152 | NL - SHOWTIME
737 | NL - VIDEOLAND
1581 | NL - VIDEOLAND KIDS
232 | NORDIC BARN ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1084 | NORDIC BECK COMPLETE
231 | NORDIC FILM  ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
139 | NORDIC FILM 2022 & OLD
314 | NORDIC FILM NEW RELEASE
1891 | NORDIC FILM ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
312 | NORDIC KIDS
1181 | NORDIC MUSIC
1817 | NORDIC SPORT
997 | NORGE BARN
996 | NORGE FILM
