SERIES CATEGORIES
=================

Total categories: 355

CATEGORY ID | CATEGORY NAME
1481 | HINDI DUBBED (KOREAN)
1548 | HINDI TAMIL
1499 | HINDI TURKISH DUBBED URDU
1671 | HINDI TV SHOWS
1585 | HINDI ULLU
1683 | HINDI WEB SERIES
1837 | HUNGARY TV-SOROZAT
2114 | INDIA ANIMATION SERIES WEB
1494 | INDIA EN DUBBED
145 | INDIA SERIES
1583 | INDIA WEB SERIE ⁴ᴷ ³⁸⁴⁰ᴾ
1500 | INDIAN DAILY SOAP
1936 | ITALY ANIME
215 | ITALY BAMBINI
1331 | ITALY DISNEY+
2043 | ITALY DOCUMENTARIO
160 | ITALY SERIE
2193 | ITALY SERIE ⁴ᴷ ³⁸⁴⁰ᴾ
2379 | JOYN DOKU-SERIES
2380 | JOYN REALITY SERIES
2378 | JOYN SERIES
2381 | JOYN TV SHOW
1057 | KURDISH BADINI
1248 | KURDISH CARTOON BADINI
1247 | KURDISH CARTOON SORANI
1148 | KURDISH SORANI
1191 | LATINO NIÑAS
1190 | LATINO SERIE
95 | MALTA DRAMA
1610 | MARVEL SERIES (MULTI)
1611 | MARVEL SERIES 3840P (MULTI)
138 | NETFLIX  SERIES
2070 | NETFLIX ADULT-SWIM
519 | NETFLIX ANIME
386 | NETFLIX ASIA
1660 | NETFLIX DOCU-SERIES
213 | NETFLIX KIDS
428 | NETFLIX KIDS ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ ⁴ᴷ ³⁸⁴⁰ᴾ
2250 | NETFLIX PODCAST
1722 | NETFLIX REALITY
1973 | NETFLIX SERIES ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
427 | NETFLIX SERIES ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ ⁴ᴷ ³⁸⁴⁰ᴾ
2180 | NETFLIX STAND-UP COMEDY
2072 | NETFLIX WWE
1796 | NETHERLANDS AMAZON PRIME
212 | NETHERLANDS KINDEREN
1711 | NETHERLANDS NPO+
211 | NETHERLANDS SERIE
1890 | NETHERLANDS SKY SHOWTIME
1066 | NETHERLANDS VIAPLAY
1077 | NICKELODEON
1733 | NORDIC ANIME
1908 | NORDIC APPLE TV+
1909 | NORDIC DISNEY+
1910 | NORDIC HBO MAX
208 | NORDIC KIDS
1265 | NORDIC KIDS ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1911 | NORDIC NETFLIX
1907 | NORDIC PRIME VIDEO
1892 | NORDIC SERIE ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
204 | NORDIC SERIES
1264 | NORDIC SERIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1917 | NORDIC SKY SHOWTIME
1912 | NORDIC VIAPLAY
810 | NORSK BARN
809 | NORSK SERIE
1904 | NORSK TV2 PLAY
1315 | OSN+ SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
1595 | PAKISTAN DRAMA
1318 | PAKISTAN GREEN TV
1309 | PAKISTAN HUMTV
1078 | PARAMOUNT+
1079 | PEACOCK
394 | PERSIAN SERIES
712 | PERSIAN انگلیسی
1211 | PERSIAN انیمه
753 | PERSIAN ترکی
2066 | PERSIAN ترکی دوبله
1157 | PERSIAN نوستالژی
2026 | PERSIAN کره ای
2298 | PHILIPPINES MICRO SERIES
914 | PHILIPPINES SERIES
2260 | PHILIPPINES TAGALOG DUB SERIES
2259 | PHILIPPINES TAGALOG SUB SERIES
643 | POLSKA SERIA
1341 | PT/BR - SHOWTIME
854 | PT/BR AMAZON PRIME
855 | PT/BR ANIMAÇÃO
852 | PT/BR APPLE TV+
853 | PT/BR DISNEY+
2031 | PT/BR DOCUMENTARIO
1370 | PT/BR GLOBOPLAY
1397 | PT/BR HBO MAX
1349 | PT/BR MARVEL STUDIOS
851 | PT/BR NETFLIX
864 | PT/BR PARAMOUNT+
857 | PT/BR SERIE
1889 | PT/BR SERIE ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1407 | PT/BR STAR WARS
733 | QUÉBEC ANIMATION
1036 | QUÉBEC DOCUMENTAIRE
732 | QUÉBEC SERIES
2230 | ROMANIAN SERIES
2267 | ROMANIAN VOYO SERIES
1046 | RUSSAIN SERIES
1080 | SHOWTIME
1081 | SKY
2248 | SOMALIA ARABIC SERIES
2246 | SOMALIA ENGLISH SERIES
2241 | SOMALIA HINDI SERIES
2247 | SOMALIA TURKISH SERIES
1183 | SOUTH AFRICA SERIES
